12/14/2021,10:51:10,-7.51,121.68478,10,3.75
12/14/2021,10:48:30,-7.52,121.73457,20.5,3.19
12/14/2021,10:46:26,-7.53,121.89932,11.5,3.33
12/14/2021,10:33:51,-7.54,121.56598,10,3.14
12/14/2021,10:28:50,-7.74,122.51485,26.5,3.21
12/14/2021,10:26:08,-7.53,121.63505,10,3.4
12/14/2021,10:23:10,-7.55,122.13766,20.6,3.4
12/14/2021,10:14:10,-7.74,122.41173,10,3.48
12/14/2021,10:11:08,-7.56,122.15034,13.3,3.34
12/14/2021,10:09:46,-7.52,121.70235,15.2,3.8
12/14/2021,10:06:16,-7.72,122.38967,10.5,3.02
12/14/2021,10:03:58,-7.56,122.12125,26.3,3.22
12/14/2021,9:58:07,-7.49,121.42,10.2,3.24
12/14/2021,9:51:19,-7.32,122.40464,10,3.57
12/14/2021,9:46:15,-7.56,122.06073,10,2.95
12/14/2021,9:36:38,-7.35,121.03217,10,3.06
12/14/2021,9:33:36,-8.52,123.29981,10,3.05
12/14/2021,9:27:23,-7.76,122.53458,21.1,3.55
12/14/2021,9:19:43,-7.78,122.17783,25.6,3.62
12/14/2021,9:10:54,-7.36,121.70351,10,3.13
12/14/2021,9:04:25,-7.65,122.3452,10,3.28
12/14/2021,8:57:34,-7.66,121.95512,14.6,4.19
12/14/2021,8:56:02,-7.77,122.36525,10,3.77
12/14/2021,8:51:43,-7.53,121.60837,10,3.47
12/14/2021,8:48:29,-7.64,122.40414,24.2,3.5
12/14/2021,8:31:32,-7.64,122.40561,13.2,5.41
12/14/2021,8:24:39,-7.8,122.48911,10.1,3.5
12/14/2021,8:23:00,-7.62,122.37122,21.6,3.72
12/14/2021,8:12:08,-7.76,122.51288,33.2,4.52
12/14/2021,8:01:15,-7.5,121.62695,11.5,3.85
12/14/2021,7:58:17,-7.66,122.06054,10,3.23
12/14/2021,7:55:47,-7.71,122.4462,10,3.03
12/14/2021,7:51:09,-7.48,121.7693,11.4,3.97
12/14/2021,7:44:06,-7.56,121.83199,10,4.35
12/14/2021,7:43:03,-7.75,122.48292,10,4.35
12/14/2021,7:41:32,-7.58,122.34019,76.5,3.43
12/14/2021,7:33:06,-7.63,122.39452,69.8,3.68
12/14/2021,7:31:33,-7.41,122.22675,13.6,3.6
12/14/2021,7:22:53,-7.52,121.75643,12.6,3.54
12/14/2021,7:21:35,-7.65,122.26939,70.9,3.89
12/14/2021,7:10:38,-7.6,122.24088,10,3.32
12/14/2021,7:04:46,-7.53,121.68385,10,3.6
12/14/2021,6:50:50,-7.41,121.62749,10,3.26
12/14/2021,6:48:48,-7.76,122.49747,10,3.62
12/14/2021,6:47:45,-7.57,121.92014,85.3,3.51
12/14/2021,6:42:51,-7.51,121.67654,10,3.11
12/14/2021,6:38:18,-7.51,121.98556,10,3.26
12/14/2021,6:35:17,-7.36,121.27567,10,3.88
12/14/2021,6:32:56,-7.6,122.19791,15.4,4.07
12/14/2021,6:29:47,-7.68,122.49356,19.4,3.65
12/14/2021,6:24:58,-7.6,122.39639,74.4,3.52
12/14/2021,6:23:27,-7.56,121.50226,10,3.59
12/14/2021,6:18:37,-7.72,122.40631,18.2,3.55
12/14/2021,6:16:26,-7.66,122.3943,10,3.49
12/14/2021,6:15:09,-7.53,122.16084,10,3.34
12/14/2021,6:12:08,-7.43,122.03004,10,3.85
12/14/2021,6:09:50,-7.35,121.25751,10,4.22
12/14/2021,6:06:07,-8.07,122.20743,113.9,3.07
12/14/2021,6:04:12,-7.25,122.35464,10,3.57
12/14/2021,6:03:02,-7.72,122.37923,10,3.6
12/14/2021,5:55:26,-7.56,122.22668,10,3.81
12/14/2021,5:46:42,-7.53,121.76662,10,5.02
12/14/2021,5:43:15,-7.58,122.31252,10,4.39
12/14/2021,5:36:18,-7.45,122.34747,10,3.61
12/14/2021,5:31:14,-8.52,123.0266,10,2.85
